,Category,Message,Cleaned
24,0,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright way i meet sooner
25,0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,just forc eat slice i realli hungri tho thi suck mark get worri he know i sick i turn pizza lol
26,0,Lol your always so convincing.,lol alway convinc
27,0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,did catch bu are fri egg did make tea are eat mom left dinner do feel love
28,0,"I'm back &amp; we're packing the car now, I'll let you know if there's room",i back amp pack car i let know room
29,0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work i vagu rememb what feel like lol
30,0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait still clear sure sarcast x want live us
31,0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah got v apologet n fallen actin like spoilt child got caught till but go not badli cheer you
32,0,K tell me anything about you.,k tell anyth
33,0,For fear of fainting with the of all that housework you just did? Quick have a cuppa,for fear faint housework quick cuppa
34,1,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thank subscript rington uk mobil charg month pleas confirm repli ye no if repli no charg
35,0,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok go home look time msg xuhui go learn nd may lesson
36,0,"Oops, I'll let you know when my roommate's done",oop i let know roommat done
37,0,I see the letter B on my car,i see letter b car
38,0,Anything lor... U decide...,anyth lor u decid
39,0,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello how saturday go i text see decid anyth tomo not tri invit anyth
40,0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pl go ahead watt i want sure do great weekend abiola
41,0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",did i forget tell i want i need i crave but i love sweet arabian steed mmmmmm yummi
42,1,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,rodger burn msg we tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow
43,0,WHO ARE YOU SEEING?,who are you see
44,0,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great i hope like man well endow i lt gt inch
45,0,No calls..messages..missed calls,no call messag miss call
46,0,Didn't you get hep b immunisation in nigeria.,didn get hep b immunis nigeria
47,0,"Fair enough, anything going on?",fair enough anyth go
48,0,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hope tyler i could mayb ask around bit
49,0,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u know stubborn i i even want go hospit i kept tell mark i weak sucker hospit weak sucker
50,0,What you thinked about me. First time you saw me in class.,what think first time saw class
51,0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",a gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt
52,0,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x ride earli tomorrow morn crash place tonight
53,0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",wow i never realiz embarass accomod i thought like sinc best could alway seem happi cave i sorri i give i sorri offer i sorri room embarass
54,1,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sm ac sptv the new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
55,0,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,do know mallika sherawat yesterday find lt url gt
56,1,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrat year special cinema pass call c suprman v matrix starwar etc free bx ip pm dont miss
57,0,"Sorry, I'll call later in meeting.",sorri i call later meet
58,0,Tell where you reached,tell reach
59,0,Yes..gauti and sehwag out of odi series.,ye gauti sehwag odi seri
60,0,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,your gonna pick burger way home i even move pain kill
61,0,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girl situat seeker
62,0,Its a part of checking IQ,it part check iq
63,0,"Sorry my roommates took forever, it ok if I come by now?",sorri roommat took forev ok i come
64,0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar doubl check wif da hair dresser alreadi said wun cut v short he said cut look nice
65,1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",as valu custom i pleas advis follow recent review mob no award bonu prize call
66,0,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",today song dedic day which song u dedic send ur valuabl frnd first rpli
67,1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent ur award complimentari trip eurodisinc trav aco entri or to claim txt di morefrmmob shracomorsglsuplt ls aj
68,1,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",did hear new divorc barbi it come ken stuff
69,0,I plane to give on this month end.,i plane give month end
70,0,Wah lucky man... Then can save money... Hee...,wah lucki man then save money hee
71,0,Finished class where are you.,finish class
72,0,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im at home now wanna do someth xx
73,0,K..k:)where are you?how did you performed?,k k perform
74,0,U can call me now...,u call
75,0,I am waiting machan. Call me once you free.,i wait machan call free
76,0,Thats cool. i am a gentleman and will treat you with dignity and respect.,that cool gentleman treat digniti respect
77,0,I like you peoples very much:) but am very shy pa.,i like peopl much shi pa
78,0,Does not operate after  &lt;#&gt;  or what,doe oper lt gt
79,0,Its not the same here. Still looking for a job. How much do Ta's earn there.,it still look job how much ta earn
80,0,"Sorry, I'll call later",sorri i call later
81,0,K. Did you call me just now ah? ,k did call ah
82,0,Ok i am on the way to home hi hi,ok way home hi hi
83,0,You will be in the place of that man,you place man
84,0,Yup next stop.,yup next stop
85,0,"I call you later, don't have network. If urgnt, sms me.",i call later network if urgnt sm
86,0,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,for real u get yo i need ticket one jacket i done i alreadi use multi
87,0,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,ye i start send request make pain came back i back bed doubl coin factori i gotta cash nitro
88,0,I'm really not up to it still tonight babe,i realli still tonight babe
89,0,"Ela kano.,il download, come wen ur free..",ela kano il download come wen ur free
90,0,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,yeah don stand close tho catch someth
91,0,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorri pain is ok meet anoth night i spent late afternoon casualti mean done stuff moro includ time sheet sorri
92,0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasur smile pain smile troubl pour like rain smile sum hurt u smile becoz someon still love see u smile
93,1,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,pleas call custom servic repres pm won guarante cash prize
94,0,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent plan buy later i check alreadi lido got show e afternoon u finish work alreadi
95,1,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",your free rington wait collect simpli text password mix verifi get usher britney fml
96,0,Watching telugu movie..wat abt u?,watch telugu movi wat abt u
97,0,i see. When we finish we have loads of loans to pay,see when finish load loan pay
98,0,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand doe caus prob u ham
99,0,Please don't text me anymore. I have nothing else to say.,pleas text anymor i noth els say
100,0,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name ur price long legal wen i pick y u ave x am xx
101,0,I'm still looking for a car to buy. And have not gone 4the driving test yet.,i still look car buy and gone drive test yet
103,0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",wow you right i mean i guess gave boston men chang search locat nyc someth chang cuz signin page still say boston
104,0,Umma my life and vava umma love you lot dear,umma life vava umma love lot dear
105,0,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thank lot wish birthday thank make birthday truli memor
106,0,"Aight, I'll hit you up when I get some cash",aight i hit i get cash
107,0,How would my ip address test that considering my computer isn't a minecraft server,how would ip address test consid comput minecraft server
108,0,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,i know grumpi old peopl my mom like better lie then i alway one play joke
109,0,Dont worry. I guess he's busy.,dont worri i guess busi
110,0,What is the plural of the noun research?,what plural noun research
111,0,Going for dinner.msg you after.,go dinner msg
112,0,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,i ok wif co like tri new thing but scare u dun like mah co u said loud
113,1,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent we tri contact last weekend draw show prize guarante call claim code k valid hr ppm
114,0,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weight haha so anythin special happen
115,0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",as i enter cabin pa said happi b day boss i felt special she askd lunch after lunch invit apart we went
116,1,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,you winner u special select receiv holiday flight inc speak live oper claim p min
117,0,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,goodo ye must speak friday egg potato ratio tortilla need
118,0,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmm uncl inform pay school directli so pl buy food
119,1,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,privat your account statement show unredeem bonu point to claim call identifi code expir
120,1,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",urgent your mobil no award bonu caller prize thi final tri contact u call landlin box wr c ppm
121,0,here is my new address -apples&pairs&all that malarky,new address appl pair malarki
122,1,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,today voda number end select receiv award if match pleas call quot claim code standard rate app
123,0,I am going to sao mu today. Will be done only at 12 ,i go sao mu today will done
124,0,ÌÏ predict wat time Ì_'ll finish buying?,predict wat time finish buy
125,0,"Good stuff, will do.",good stuff
126,0,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",just know yetund sent money yet i sent text bother send so dont involv anyth i impos anyth first place apologis
127,0,Are you there in room.,are room
128,0,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx
129,0,K..k:)how much does it cost?,k k much cost
130,0,I'm home.,i home
131,0,"Dear, will call Tmorrow.pls accomodate.",dear call tmorrow pl accomod
132,0,First answer my question.,first answer question
133,1,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sp tyron
134,1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,want get laid tonight want real dog locat sent direct ur mob join uk largest dog network bt txting gravel nt ec p msg p
135,0,I only haf msn. It's yijue@hotmail.com,i haf msn it yiju hotmail com
136,0,He is there. You call and meet him,he you call meet
137,0,No no. I will check all rooms befor activities,no i check room befor activ
138,1,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,you rcv msg chat svc for free hardcor servic text go if u get noth u must age verifi yr network tri
139,0,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,got c i lazi type i forgot lect i saw pouch like v nice
140,0,"K, text me when you're on the way",k text way
141,0,"Sir, Waiting for your mail.",sir wait mail
142,0,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",a swt thought nver get tire littl thing lovabl person coz somtim littl thing occupi biggest part heart gud ni
143,0,I know you are. Can you pls open the back?,i know can pl open back
144,0,Yes see ya not on the dot,ye see ya dot
145,0,Whats the staff name who is taking class for us?,what staff name take class us
146,1,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",freemsg whi repli text i randi sexi femal live local luv hear u netcollex ltd p per msg repli stop end
147,0,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ummma call check life begin qatar pl pray hard
148,0,K..i deleted my contact that why?,k delet contact
149,0,Sindu got job in birla soft ..,sindu got job birla soft
150,0,The wine is flowing and i'm i have nevering..,the wine flow never
151,0,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,yup thk cine better co need go plaza mah
152,0,Ok... Ur typical reply...,ok ur typic repli
154,0,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",you everywher dirt floor window even shirt and sometim open mouth come flow i dream world without half chore a time joy lot tv show see but guess like thing must exist like rain hail mist time done becom one
155,0,Aaooooright are you at work?,aaooooright work
156,0,I'm leaving my house now...,i leav hous
157,0,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",hello love what did get interview today are happi are good boy do think are miss
158,1,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,custom servic annonc you new year deliveri wait pleas call arrang deliveri
159,1,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,you winner u special select receiv cash holiday flight inc speak live oper claim
160,0,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,keep safe i need i miss alreadi i envi everyon see real life
161,0,New car and house for my parents.:)i have only new job in hand:),new car hous parent new job hand
162,0,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,i love i excit day spend you make happi
163,1,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,pl stop bootydeli f invit friend repli ye no see www sm ac u bootydeli stop send stop frnd
164,1,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",bangbab ur order way u should receiv servic msg download ur content if u goto wap bangb tv ur mobil internet servic menu
165,0,I place all ur points on e cultures module already.,i place ur point e cultur modul alreadi
166,1,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,urgent we tri contact last weekend draw show prize guarante call claim code s valid hr
167,0,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",hi frnd best way avoid missunderstd wit belov one
168,0,Great escape. I fancy the bridge but needs her lager. See you tomo ,great escap i fanci bridg need lager see tomo
169,0,Yes :)it completely in out of form:)clark also utter waste.,ye complet form clark also utter wast
170,0,"Sir, I need AXIS BANK account no and bank address.",sir i need axi bank account bank address
171,0,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",hmmm thk sure got time hop ard ya go free abt muz call u discuss liao
172,0,What time you coming down later? ,what time come later
173,0,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",bloodi hell cant believ forgot surnam mr ill give u clue spanish begin
174,0,"Well, i'm gonna finish my bath now. Have a good...fine night.",well gonna finish bath have good fine night
175,0,Let me know when you've got the money so carlos can make the call,let know got money carlo make call
176,0,U still going to the mall?,u still go mall
177,0,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",turn friend stay whole show back til lt gt feel free go ahead smoke lt gt worth
178,0,Text her. If she doesnt reply let me know so i can have her log in,text if doesnt repli let know log
179,0,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi you spoke maneesha v we like know satisfi experi repli toll free ye no
180,0,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,you lift hope offer money i need especi end month approach hurt studi anyway gr weekend
181,0,Lol no. U can trust me.,lol u trust
182,0,ok. I am a gentleman and will treat you with dignity and respect.,ok i gentleman treat digniti respect
183,0,"He will, you guys close?",he guy close
184,0,Going on nothing great.bye,go noth great bye
185,0,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,hello handsom are find job not lazi work toward get back net mummi where boytoy doe miss
186,0,"Haha awesome, be there in a minute",haha awesom minut
187,1,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,pleas call custom servic repres freephon pm won guarante cash prize
188,0,Have you got Xmas radio times. If not i will get it now,have got xma radio time if get
189,0,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,i ju reach home i go bath first but si use net tell u finish k
190,1,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,are uniqu enough find th august www areyouuniqu co uk
191,0,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,i sorri i join leagu peopl dont keep touch you mean great deal you friend time even great person cost do great week
192,0,Hi :)finally i completed the course:),hi final complet cours
193,0,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,it stop i howev suggest stay someon abl give or everi stool
194,0,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,how hope settl new school year just wishin gr day
195,0,Gud mrng dear hav a nice day,gud mrng dear hav nice day
196,0,Did u got that persons story,did u got person stori
197,0,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,hamster dead hey tmr meet pm orchard mrt
198,0,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,hi kate even i hope see tomorrow bit bloodi babyjontet txt back u xxx
199,0,"Found it, ENC  &lt;#&gt; , where you at?",found enc lt gt
200,0,I sent you  &lt;#&gt;  bucks,i sent lt gt buck
201,0,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,hello darlin ive finish colleg txt u finish u love kate xxx
202,0,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,your account refil success inr lt decim gt your keralacircl prepaid account balanc rs lt decim gt your transact id kr lt gt
203,0,Goodmorning sleeping ga.,goodmorn sleep ga
204,0,U call me alter at 11 ok.,u call alter ok
205,0,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,say like dat dun buy ericsson oso cannot oredi lar
207,0,"Aight yo, dats straight dogg",aight yo dat straight dogg
208,0,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,you pleas give us connect today lt decim gt refund bill
209,0,Both :) i shoot big loads so get ready!,both shoot big load get readi
210,0,"What's up bruv, hope you had a great break. Do have a rewarding semester.",what bruv hope great break do reward semest
211,0,Home so we can always chat,home alway chat
212,0,K:)k:)good:)study well.,k k good studi well
213,0,Yup... How Ì_ noe leh...,yup how noe leh
214,0,Sounds great! Are you home now?,sound great are home
215,0,Finally the match heading towards draw as your prediction.,final match head toward draw predict
216,0,Tired. I haven't slept well the past few nights.,tire i slept well past night
217,0,Easy ah?sen got selected means its good..,easi ah sen got select mean good
218,0,I have to take exam with march 3,i take exam march
219,0,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,yeah i think use gt atm regist not sure anyway help let know but sure readi
220,0,Ok no prob. Take ur time.,ok prob take ur time
221,0,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,there os call ubandu run without instal hard disk use os copi import file system give repair shop
223,0,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,u say leh of cours noth happen lar not say v romant ju bit lor i thk e nite sceneri nice leh
224,1,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",new mobil must go txt nokia no collect today from onli www tc biz optout gbp mtmsg
225,0,Would really appreciate if you call me. Just need someone to talk to.,would realli appreci call just need someon talk
226,1,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",will u meet ur dream partner soon is ur career flyng start find free txt horo follow ur star sign e g horo ari
227,0,Hey company elama po mudyadhu.,hey compani elama po mudyadhu
228,0,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",life strict teacher bcoz teacher teach lesson amp conduct exam but life first conduct exam amp teach lesson happi morn
229,0,Dear good morning now only i am up,dear good morn
230,0,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,get gandhipuram walk cross cut road right side lt gt street road turn first right
231,0,Dear we are going to our rubber place,dear go rubber place
232,0,"Sorry battery died, yeah I'm here",sorri batteri die yeah i
233,0,Yes:)here tv is always available in work place..,ye tv alway avail work place
234,1,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,text meet someon sexi today u find date even flirt u join p repli name age eg sam msg recd thirtyeight penc
235,0,I have printed it oh. So  &lt;#&gt;  come upstairs,i print oh so lt gt come upstair
236,0,Or ill be a little closer like at the bus stop on the same street,or ill littl closer like bu stop street
237,0,Where are you?when wil you reach here?,where wil reach
238,0,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",new theori argument win situat lose person so dont argu ur friend kick amp say i alway correct
239,1,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,u secret admir look make contact u find r reveal think ur special call
240,0,Tomarrow final hearing on my laptop case so i cant.,tomarrow final hear laptop case cant
241,0,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,pleassssssseeeee tel me v avent done sportsx
242,0,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",okay no shine that meant sign sound better
